LocusID,GOterm,GOdesc,Ontology
Solyc00g500019.1.1,GO:0009522,photosystem I,CC
Solyc00g180440.2.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500024.1.1,GO:0009521,photosystem,CC
Solyc00g500026.1.1,GO:0009523,photosystem II,CC
Solyc00g500028.1.1,GO:0009055,electron transfer activity,MF
Solyc00g500029.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500030.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500031.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500032.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500035.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500036.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500039.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500040.1.1,GO:0016021,integral component of membrane,CC
Solyc00g500041.1.1,GO:0016020,membrane,CC
Solyc00g500043.1.1,GO:0016021,integral component of membrane,CC
Solyc00g500044.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g277510.2.1,GO:0009772,photosynthetic electron transport in photosystem II,BP
Solyc00g500051.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500053.2.1,GO:0003677,DNA binding,MF
Solyc00g500054.1.1,GO:0009521,photosystem,CC
Solyc00g500056.1.1,GO:0009522,photosystem I,CC
Solyc00g500057.1.1,GO:0009522,photosystem I,CC
Solyc00g500058.1.1,GO:0016020,membrane,CC
Solyc00g500061.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500064.1.1,GO:0009523,photosystem II,CC
Solyc00g500066.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500068.1.1,GO:0009055,electron transfer activity,MF
Solyc00g500071.1.1,GO:0009521,photosystem,CC
Solyc00g500072.1.1,GO:0009523,photosystem II,CC
Solyc00g500073.1.1,GO:0009055,electron transfer activity,MF
Solyc00g500074.1.1,GO:0009522,photosystem I,CC
Solyc00g500075.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500076.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500077.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500079.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500080.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500082.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500083.1.1,GO:0009523,photosystem II,CC
Solyc00g500084.1.1,GO:0016021,integral component of membrane,CC
Solyc00g500085.2.1,GO:0017004,cytochrome complex assembly,BP
Solyc00g500086.1.1,GO:0016020,membrane,CC
Solyc00g500087.1.1,GO:0016651,"oxidoreductase activity, acting on NAD(P)H",MF
Solyc00g500101.1.1,GO:0016021,integral component of membrane,CC
Solyc00g500102.1.1,GO:0016021,integral component of membrane,CC
Solyc00g500103.1.1,GO:0008137,NADH dehydrogenase (ubiquinone) activity,MF
Solyc00g500112.1.1,GO:0008137,NADH dehydrogenase (ubiquinone) activity,MF
Solyc00g500113.1.1,GO:0003723,RNA binding,MF
Solyc00g500118.1.1,GO:0016021,integral component of membrane,CC
Solyc00g160020.1.1,GO:0016021,integral component of membrane,CC
Solyc00g160670.1.1,GO:0017004,cytochrome complex assembly,BP
Solyc00g500123.1.1,GO:0016020,membrane,CC
Solyc00g500124.1.1,GO:0016651,"oxidoreductase activity, acting on NAD(P)H",MF
Solyc00g500126.1.1,GO:0016021,integral component of membrane,CC
Solyc00g500127.1.1,GO:0009522,photosystem I,CC
Solyc00g500130.1.1,GO:0009772,photosynthetic electron transport in photosystem II,BP
Solyc00g500134.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500136.1.1,GO:0009521,photosystem,CC
Solyc00g500138.1.1,GO:0009522,photosystem I,CC
Solyc00g500139.1.1,GO:0009522,photosystem I,CC
Solyc00g500140.1.1,GO:0015986,proton motive force-driven ATP synthesis,BP
Solyc00g500141.1.1,GO:0005524,ATP binding,MF
Solyc00g500142.1.1,GO:0005524,ATP binding,MF
Solyc00g500148.1.1,GO:0005524,ATP binding,MF
Solyc00g500149.1.1,GO:0005524,ATP binding,MF
Solyc00g500150.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500151.1.1,GO:0009772,photosynthetic electron transport in photosystem II,BP
Solyc00g500152.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500153.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500154.1.1,GO:0005524,ATP binding,MF
Solyc00g500155.1.1,GO:0009522,photosystem I,CC
Solyc00g500156.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500157.1.1,GO:0005524,ATP binding,MF
Solyc00g500158.1.1,GO:0009055,electron transfer activity,MF
Solyc00g230080.1.1,GO:0009772,photosynthetic electron transport in photosystem II,BP
Solyc00g500168.1.1,GO:0016021,integral component of membrane,CC
Solyc00g500173.1.1,GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",CC
Solyc00g019730.2.1,GO:0015002,GO:0015002,
Solyc00g500184.1.1,GO:0016651,"oxidoreductase activity, acting on NAD(P)H",MF
Solyc00g094530.1.1,GO:0016020,membrane,CC
Solyc00g049210.1.1,GO:0017004,cytochrome complex assembly,BP
Solyc00g500186.1.1,GO:0004129,cytochrome-c oxidase activity,MF
Solyc00g021660.1.1,GO:0033926,glycopeptide alpha-N-acetylgalactosaminidase activity,MF
Solyc00g500190.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500192.1.1,GO:0016651,"oxidoreductase activity, acting on NAD(P)H",MF
Solyc00g500193.1.1,GO:0016020,membrane,CC
Solyc00g500194.1.1,GO:0017004,cytochrome complex assembly,BP
Solyc00g500196.2.1,GO:0016021,integral component of membrane,CC
Solyc00g500199.1.1,GO:0009522,photosystem I,CC
Solyc00g500200.1.1,GO:0009772,photosynthetic electron transport in photosystem II,BP
Solyc00g500204.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500206.1.1,GO:0009521,photosystem,CC
Solyc00g500208.1.1,GO:0009522,photosystem I,CC
Solyc00g500209.1.1,GO:0009522,photosystem I,CC
Solyc00g500210.1.1,GO:0016021,integral component of membrane,CC
Solyc00g047200.1.1,GO:0009055,electron transfer activity,MF
Solyc00g500225.1.1,GO:0008137,NADH dehydrogenase (ubiquinone) activity,MF
Solyc00g230070.1.1,GO:0009521,photosystem,CC
Solyc00g019950.2.1,GO:0008137,NADH dehydrogenase (ubiquinone) activity,MF
Solyc00g160060.1.1,GO:0015002,GO:0015002,
Solyc00g500242.1.1,GO:0017004,cytochrome complex assembly,BP
Solyc00g500244.1.1,GO:0016021,integral component of membrane,CC
Solyc00g028960.1.1,GO:0009055,electron transfer activity,MF
Solyc00g500249.1.1,GO:0017004,cytochrome complex assembly,BP
Solyc00g500250.1.1,GO:0004129,cytochrome-c oxidase activity,MF
Solyc00g021630.1.1,GO:0008137,NADH dehydrogenase (ubiquinone) activity,MF
Solyc00g500258.1.1,GO:0004568,chitinase activity,MF
Solyc00g500275.1.1,GO:0016021,integral component of membrane,CC
Solyc00g500277.1.1,GO:0017004,cytochrome complex assembly,BP
Solyc00g500278.1.1,GO:0016021,integral component of membrane,CC
Solyc00g500291.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500296.1.1,GO:0009772,photosynthetic electron transport in photosystem II,BP
Solyc00g500297.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500298.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500302.1.1,GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",CC
Solyc00g500303.1.1,GO:0015002,GO:0015002,
Solyc00g500310.1.1,GO:0016021,integral component of membrane,CC
Solyc00g500320.1.1,GO:0009772,photosynthetic electron transport in photosystem II,BP
Solyc00g500321.1.1,GO:0015078,proton transmembrane transporter activity,MF
Solyc00g500322.1.1,GO:0015078,proton transmembrane transporter activity,MF
Solyc00g500324.1.1,GO:0016021,integral component of membrane,CC
Solyc00g500329.1.1,GO:0009772,photosynthetic electron transport in photosystem II,BP
Solyc00g500335.1.1,GO:0015078,proton transmembrane transporter activity,MF
Solyc00g160110.1.1,GO:0003735,structural constituent of ribosome,MF
